"Identification code",Name,"Members FTE","Lobbying cost","Interest represented","Head office","EU office","EP passes on 2026-05-25","all EP passes",Meetings,"Lobbyfacts URL"
7341074100725-16,"Irish League of Credit Unions",0.2,50000,"Promotes their own interests or the collective interests of their members",IRELAND,IRELAND,,,1,https://www.lobbyfacts.eu/datacard/irish-league-of-credit-unions?rid=7341074100725-16
734589751031-95,"Total Politics Group",3,50000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM",BELGIUM,15,40,,https://www.lobbyfacts.eu/datacard/total-politics-group?rid=734589751031-95
7346832101782-55,"Associazione Imprese Subacquee Italiane",1.9,50000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/associazione-imprese-subacquee-italiane?rid=7346832101782-55
735000523701-82,"Allison Transmission Europe B.V.",0.85,50000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/allison-transmission-europe-bv?rid=735000523701-82
735853495839-96,"Plum Consulting Paris",0.5,50000,"Advances interests of their clients",FRANCE,FRANCE,,,1,https://www.lobbyfacts.eu/datacard/plum-consulting-paris?rid=735853495839-96
737200614864-41,TECNIBERIA,0.4,50000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/tecniberia?rid=737200614864-41
737289099138-45,"Norges Skogeierforbund",1.25,50000,"Promotes their own interests or the collective interests of their members",NORWAY,NORWAY,1,1,,https://www.lobbyfacts.eu/datacard/norges-skogeierforbund?rid=737289099138-45
737363819835-03,"HISPASAT, S.A.",1.5,50000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,4,11,https://www.lobbyfacts.eu/datacard/hispasat-sa?rid=737363819835-03
737397199440-20,"RKW Group",1.7,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/rkw-group?rid=737397199440-20
737620741578-22,"Hearing Health Forum EU",0.6,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,1,1,,https://www.lobbyfacts.eu/datacard/hearing-health-forum-eu?rid=737620741578-22
737628399244-36,"Pyrum Innovations AG",1,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/pyrum-innovations-ag?rid=737628399244-36
73872883198-91,"European Hospital and Healthcare Federation",0.85,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,2,45,5,https://www.lobbyfacts.eu/datacard/european-hospital-and-healthcare-federation?rid=73872883198-91
7392099102536-39,"PFA - Portugal Fintech Association",1,50000,"Promotes their own interests or the collective interests of their members",PORTUGAL,PORTUGAL,,,1,https://www.lobbyfacts.eu/datacard/pfa---portugal-fintech-association?rid=7392099102536-39
740724723272-25,ProRail,2.75,50000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,1,https://www.lobbyfacts.eu/datacard/prorail?rid=740724723272-25
741084847914-70,"Rare Earths Norway AS",1.75,50000,"Promotes their own interests or the collective interests of their members",NORWAY,NORWAY,,,5,https://www.lobbyfacts.eu/datacard/rare-earths-norway-as?rid=741084847914-70
741759334884-26,"Win Cat",1.25,50000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,10,,https://www.lobbyfacts.eu/datacard/win-cat?rid=741759334884-26
742743296260-67,"NAFTA a.s.",0.25,50000,"Promotes their own interests or the collective interests of their members",SLOVAKIA,SLOVAKIA,,,,https://www.lobbyfacts.eu/datacard/nafta-as?rid=742743296260-67
742852346676-67,"Westenergy Oy",1.1,50000,"Promotes their own interests or the collective interests of their members",FINLAND,FINLAND,4,9,4,https://www.lobbyfacts.eu/datacard/westenergy-oy?rid=742852346676-67
743770249681-84,"Radisson Hotel Group",0.5,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,4,https://www.lobbyfacts.eu/datacard/radisson-hotel-group?rid=743770249681-84
7440365102884-26,UNIVITY,1.5,50000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/univity?rid=7440365102884-26
744386211832-33,"Gibbels Public Affairs",1,50000,"Advances interests of their clients",BELGIUM,BELGIUM,1,27,3,https://www.lobbyfacts.eu/datacard/gibbels-public-affairs?rid=744386211832-33
744489434488-34,"Stowarzyszenie Dystrybutorów i Producentów Części Motoryzacyjnych",1.5,50000,"Promotes their own interests or the collective interests of their members",POLAND,POLAND,1,1,5,https://www.lobbyfacts.eu/datacard/stowarzyszenie-dystrybutorów-i-producentów-części-motoryzacyjnych?rid=744489434488-34
744597146264-09,"Refurbed Marketplace GmbH",0.6,50000,"Promotes their own interests or the collective interests of their members",AUSTRIA,AUSTRIA,,,3,https://www.lobbyfacts.eu/datacard/refurbed-marketplace-gmbh?rid=744597146264-09
7455137131-52,"Bundesverband Spedition und Logistik e.V.",0.75,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,1,19,1,https://www.lobbyfacts.eu/datacard/bundesverband-spedition-und-logistik-ev?rid=7455137131-52
7457979101839-52,"Spolek pro chemickou a hutní výrobu, akciová společnost",0.1,50000,"Promotes their own interests or the collective interests of their members","CZECH REPUBLIC","CZECH REPUBLIC",,,,https://www.lobbyfacts.eu/datacard/spolek-pro-chemickou-a-hutní-výrobu-akciová-společnost?rid=7457979101839-52
74850577610-03,"Verband Deutscher Reeder",1,50000,"Advances interests of their clients",GERMANY,BELGIUM,,19,8,https://www.lobbyfacts.eu/datacard/verband-deutscher-reeder?rid=74850577610-03
75060586073-86,"The International Natural and Organic Cosmetic Association",1,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,3,,https://www.lobbyfacts.eu/datacard/the-international-natural-and-organic-cosmetic-association?rid=75060586073-86
750667832077-61,"ÖKOBÜRO - Allianz der Umweltbewegung",1.25,50000,"Promotes their own interests or the collective interests of their members",AUSTRIA,AUSTRIA,,,1,https://www.lobbyfacts.eu/datacard/ökobüro---allianz-der-umweltbewegung?rid=750667832077-61
750843838123-86,"Association of Proprietary Traders",0.25,50000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,1,1,,https://www.lobbyfacts.eu/datacard/association-of-proprietary-traders?rid=750843838123-86
751345551930-46,"Confindustria Cuneo - Unione Industriale della Provincia",1.2,50000,"Promotes their own interests or the collective interests of their members",ITALY,BELGIUM,1,3,1,https://www.lobbyfacts.eu/datacard/confindustria-cuneo---unione-industriale-della-provincia?rid=751345551930-46
751925529087-67,"SCOPE Europe (Self and Co-Regulation for an Optimized Policy Environment in Europe)",1.35,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,3,1,https://www.lobbyfacts.eu/datacard/scope-europe-self-and-co-regulation-for-an-optimized-policy-environment-in-europe?rid=751925529087-67
752385731275-18,"McKinsey Global Institute",0.2,50000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,,,25,https://www.lobbyfacts.eu/datacard/mckinsey-global-institute?rid=752385731275-18
754356330917-42,"Dante International S.A.",2.25,50000,"Promotes their own interests or the collective interests of their members",ROMANIA,ROMANIA,,,2,https://www.lobbyfacts.eu/datacard/dante-international-sa?rid=754356330917-42
754550129298-90,"Verbond van Belgische Tuinbouwcoöperaties",0.8,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,1,1,,https://www.lobbyfacts.eu/datacard/verbond-van-belgische-tuinbouwcoöperaties?rid=754550129298-90
754837246496-05,"Hydrogenious LOHC Technologies GmbH",0.35,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,2,1,https://www.lobbyfacts.eu/datacard/hydrogenious-lohc-technologies-gmbh?rid=754837246496-05
7552967102950-49,"Vereinigung der kommunalen Arbeitgeberverbände e.V.",0.3,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/vereinigung-der-kommunalen-arbeitgeberverbände-ev?rid=7552967102950-49
755317597610-96,"Manitowoc Crane Group Germany",0.4,50000,"Promotes their own interests or the collective interests of their members",GERMANY,"UNITED STATES",,,,https://www.lobbyfacts.eu/datacard/manitowoc-crane-group-germany?rid=755317597610-96
756718096785-90,"Melaleuca, Inc.",0.2,50000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,,,https://www.lobbyfacts.eu/datacard/melaleuca-inc?rid=756718096785-90
756958036725-89,"European Floorcovering Association",0.5,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/european-floorcovering-association?rid=756958036725-89
757797110981-25,"International Federation of Film Distributors' and Publishers' Associations",1.75,50000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,1,4,6,https://www.lobbyfacts.eu/datacard/international-federation-of-film-distributors-and-publishers-associations?rid=757797110981-25
759106145405-60,"Forvis Mazars GmbH & Co. KG",0.1,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/forvis-mazars-gmbh--co-kg?rid=759106145405-60
7593155102262-35,"T-REGS bv",0.5,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,1,1,,https://www.lobbyfacts.eu/datacard/t-regs-bv?rid=7593155102262-35
759849612290-93,"Zabala Innovation Consulting, S.A.",0.95,50000,"Promotes their own interests or the collective interests of their members",SPAIN,BELGIUM,2,46,2,https://www.lobbyfacts.eu/datacard/zabala-innovation-consulting-sa?rid=759849612290-93
762154393674-84,Psychomeasure,5.75,50000,"Promotes their own interests or the collective interests of their members",PORTUGAL,PORTUGAL,,,,https://www.lobbyfacts.eu/datacard/psychomeasure?rid=762154393674-84
762465118754-84,"Eurofiber Holding",0.5,50000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/eurofiber-holding?rid=762465118754-84
762700951610-90,AGPB,0.8,50000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,8,https://www.lobbyfacts.eu/datacard/agpb?rid=762700951610-90
7642754104228-41,"Herasme Consulting BV",1,50000,"Advances interests of their clients",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/herasme-consulting-bv?rid=7642754104228-41
7646428102526-62,"Scarlet NB B.V.",0.55,50000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/scarlet-nb-bv?rid=7646428102526-62
765379449482-59,APELL,1.15,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,1,2,1,https://www.lobbyfacts.eu/datacard/apell?rid=765379449482-59
766687696872-56,"MedicalMountains GmbH",0.75,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,3,https://www.lobbyfacts.eu/datacard/medicalmountains-gmbh?rid=766687696872-56
766810698302-61,"3 CIS JSC SH.A.",1,50000,"Promotes their own interests or the collective interests of their members","KOSOVO (*)","KOSOVO (*)",,,,https://www.lobbyfacts.eu/datacard/_-cis-jsc-sha?rid=766810698302-61
767074833115-89,"Luka Koper d.d.",0.4,50000,"Promotes their own interests or the collective interests of their members",SLOVENIA,SLOVENIA,,,4,https://www.lobbyfacts.eu/datacard/luka-koper-dd?rid=767074833115-89
767144394310-05,"Sweetch Energy",0.3,50000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/sweetch-energy?rid=767144394310-05
7673364102607-90,Fenagifar,0.1,50000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/fenagifar?rid=7673364102607-90
767488491682-08,"Bundesverband Deutscher Patentanwälte",0.2,50000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/bundesverband-deutscher-patentanwälte?rid=767488491682-08
769057752467-41,"Mayr-Melnhof Karton AG",1,50000,"Promotes their own interests or the collective interests of their members",AUSTRIA,AUSTRIA,,,,https://www.lobbyfacts.eu/datacard/mayr-melnhof-karton-ag?rid=769057752467-41
769812125327-28,"Českomoravská konfederace odborových svazů",3,50000,"Promotes their own interests or the collective interests of their members","CZECH REPUBLIC","CZECH REPUBLIC",,,2,https://www.lobbyfacts.eu/datacard/českomoravská-konfederace-odborových-svazů?rid=769812125327-28
770656696878-96,"John Cockerill Hydrogen Belgium",0.5,50000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,,4,https://www.lobbyfacts.eu/datacard/john-cockerill-hydrogen-belgium?rid=770656696878-96
772040252193-61,"FORUM ATENA",1.5,50000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,1,2,,https://www.lobbyfacts.eu/datacard/forum-atena?rid=772040252193-61
773063846112-57,"Associazione Nazionale Imprese Trasporti Automobilistici.",0.75,50000,"Promotes their own interests or the collective interests of their members",ITALY,ITALY,1,4,1,https://www.lobbyfacts.eu/datacard/associazione-nazionale-imprese-trasporti-automobilistici?rid=773063846112-57
773099037248-27,"ASOCIACIÓN DE USUARIOS FINANCIEROS",0.75,50000,"Promotes their own interests or the collective interests of their members",SPAIN,SPAIN,,,1,https://www.lobbyfacts.eu/datacard/asociación-de-usuarios-financieros?rid=773099037248-27
77510791109-40,"Trades Union Congress (UK)",0.5,50000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,1,9,https://www.lobbyfacts.eu/datacard/trades-union-congress-uk?rid=77510791109-40
775947799183-37,ADDMO,1.1,50000,"Promotes their own interests or the collective interests of their members",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/addmo?rid=775947799183-37
